city_key,city_name,province,raw_city_variants,province_variants,city_level,workbook_count,coverage_status,workbooks_missing,has_zero_width_chars,admin_status,needs_manual_review,review_reason,notes
cn_city_30d568c1,银川,宁夏,银川;银川市,中国;宁夏,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_66f4a7e2,亳州,安徽,亳州;亳州市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_9bce5c1f,六安,安徽,六安;六安市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_5dcc8e30,合肥,安徽,合肥;合肥市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_5144e255,安庆,安徽,安庆;安庆市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_88951e24,宣城,安徽,宣城;宣城市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_2ac97194,宿州,安徽,宿州;宿州市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_dd3e4189,巢湖,安徽,安徽,中国,地级市,6,partial,地级市房价,no,historical_adjustment,yes,工作簿覆盖不完整；原地级巢湖市已撤销，需按年份和口径决定是否并入合肥、芜湖、马鞍山等后续区划。,不是所有工作簿都覆盖
cn_city_a24c0c85,池州,安徽,池州;池州市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_3bd5a5fd,淮北,安徽,淮北;淮北市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_3f34d524,淮南,安徽,淮南;淮南市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_084e3574,滁州,安徽,滁州;滁州市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_5296828d,芜湖,安徽,芜湖;芜湖市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_157d6790,蚌埠,安徽,蚌埠;蚌埠市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_35e4e9f8,铜陵,安徽,铜陵;铜陵市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_a38d1f08,阜阳,安徽,阜阳;阜阳市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_aff6accc,马鞍山,安徽,马鞍山;马鞍山市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_259f9f3f,黄山,安徽,黄山;黄山市,中国;安徽,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_713c70fb,东营,山东,东营;东营市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_77d3a0e5,临沂,山东,临沂;临沂市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_4e5ad9ed,威海,山东,威海;威海市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_4d21f754,德州,山东,德州;德州市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
cn_city_277e5f27,日照,山东,日照;日照市,中国;山东,地级市,7,complete,,no,normal,no,,原始城市名存在多个写法
