normalized_city,raw_city_variants,province_variants,workbook_count,workbooks_present,workbooks_missing,has_zero_width_chars,notes
内江,内江;内江市,中国;四川,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
包头,包头;包头市,中国;内蒙古,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
北京,北京,中国;北京,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,
北海,北海;北海市,中国;广西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
十堰,十堰;十堰市,中国;湖北,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
南京,南京;南京市,中国;江苏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
南充,南充;南充市,中国;四川,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
南宁,南宁;南宁市,中国;广西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
南平,南平;南平市,中国;福建,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
南昌,南昌;南昌市,中国;江西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
南通,南通;南通市,中国;江苏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
南阳,南阳;南阳市,中国;河南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
厦门,厦门;厦门市,中国;福建,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
双鸭山,双鸭山;双鸭山市,中国;黑龙江,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
台州,台州;台州市,中国;浙江,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
合肥,合肥;合肥市,中国;安徽,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
吉安,吉安;吉安市,中国;江西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
吉林,吉林;吉林市,中国;吉林,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
吐鲁番,吐鲁番,中国;新疆,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,
吕梁,吕梁;吕梁市,中国;山西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
吴忠,吴忠;吴忠市,中国;宁夏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
周口,周口;周口市,中国;河南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
呼伦贝尔,呼伦贝尔;呼伦贝尔市,中国;内蒙古,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
呼和浩特,呼和浩特;呼和浩特市,中国;内蒙古,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
咸宁,咸宁;咸宁市,中国;湖北,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
咸阳,咸阳;咸阳市,中国;陕西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
哈密,哈密;哈密​​,中国;新疆,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,yes,原始城市名存在多个写法；原始城市名包含不可见字符
哈尔滨,哈尔滨;哈尔滨市,中国;黑龙江,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
唐山,唐山;唐山市,中国;河北,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
商丘,商丘;商丘市,中国;河南,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
商洛,商洛;商洛市,中国;陕西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
嘉兴,嘉兴;嘉兴市,中国;浙江,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
嘉峪关,嘉峪关;嘉峪关市,中国;甘肃,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
四平,四平;四平市,中国;吉林,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
固原,固原;固原市,中国;宁夏,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
大同,大同;大同市,中国;山西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
大庆,大庆;大庆市,中国;黑龙江,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
大连,大连;大连市,中国;辽宁,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
天水,天水;天水市,中国;甘肃,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
天津,天津,中国;天津,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,
太原,太原;太原市,中国;山西,7,住宅开发投资额;住宅销售面积;住宅销售额;商品房销售面积;商品房销售额;地级市房价;房地产开发投资额,,no,原始城市名存在多个写法
